NativeScript/NativeScript,,,,,,
number,합병,해결안제시,SBR유무,comment,,
60,,,x,,60,1
74,,,x,,74,1
75,,,x,,75,1
76,,,x,,76,1
91,,,x,,91,1
111,,,x,,111,1
127,,,o,exception handling,127,1
132,,,x,,132,1
133,,,x,,133,1
175,,,x,,175,1
186,,,x,,186,1
187,,,x,,187,1
188,,,x,,188,1
189,,,x,,189,1
193,,,x,,193,1
196,,,x,,196,1
198,,,x,,198,1
222,,,o,value expose,222,1
228,,,x,,228,1
234,,,x,,234,1
242,,,x,,242,1
261,,,x,,261,1
267,,,x,,267,1
270,,,x,,270,1
285,,,x,,285,1
308,,,x,,308,1
322,,,x,,322,1
343,,,x,,343,1
360,,,x,,360,1
368,,,x,,368,1
373,,,x,,372,
395,,,x,,395,1
406,,,x,,406,1
408,,,x,,408,1
411,,,o,crash value,411,1
421,,,x,,421,1
422,,,o,term,422,1
423,,,x,,423,1
426,,,x,,426,1
428,,,x,,428,1
440,,,x,,440,1
508,,,x,,508,1
513,,,x,,513,1
518,,,x,,518,1
535,,,o,exception handling,535,1
537,,,x,,537,1
544,,,x,,544,1
557,,,x,,557,1
575,,,x,,575,1
576,,,x,,576,1
581,,,x,,581,1
587,,,x,,587,1
590,,,x,,590,1
605,,,x,,605,1
613,,,x,,613,1
616,,,x,,616,1
623,,,x,,623,1
642,,,x,,642,1
651,,,o,json,651,1
654,,,x,,654,1
659,,,x,,659,1
667,,,x,,667,1
680,,,x,,680,1
707,,,x,,707,1
715,,,x,,715,1
732,,,x,,732,1
744,,,x,,744,1
747,,,x,,747,1
754,,,x,,754,1
756,,,x,,756,1
757,,,x,,757,1
758,,,x,,758,1
759,,,x,,759,1
763,,,x,,763,1
772,,,x,,772,1
774,791,,o,unexpected value,774,1
777,,,x,,777,1
781,,,x,,781,1
789,,,x,,789,1
790,,,x,,790,1
793,,,x,,793,1
801,,,x,,801,1
805,,,x,,805,1
808,,,x,,808,1
814,,,x,,814,1
815,,,x,,815,1
817,,,x,,817,1
819,,,x,,819,1
820,,,x,,820,1
830,,,x,,830,1
835,,,x,,835,1
837,,,o,term,837,1
843,,,x,,843,1
848,,,x,,848,1
851,,,x,,851,1
857,,,x,,857,1
867,,,x,,867,1
873,,,x,,873,1
889,,,x,,889,1
894,,,x,,894,1
901,,,x,,901,1
904,,,x,,904,1
909,,,o,exception handling,909,1
929,,,x,,929,1
940,,,x,,940,1
941,,,x,,941,1
963,,,x,,963,1
966,,,o,term,966,1
986,,,x,,986,1
990,,,x,,990,1
993,,,x,,993,1
1000,,,x,,1000,1
1002,,,x,,1002,1
1004,,,x,,1004,1
1007,1017,,x,,1007,1
1010,,,x,,1010,1
1012,,,x,,1012,1
1018,,,x,,1018,1
1021,,,x,,1021,1
1028,,,x,,1028,1
1029,,,x,,1029,1
1038,,,x,,1038,1
1078,,,x,,1078,1
1082,,,o,exception handling,1082,1
1123,,,x,,1123,1
1127,,,x,,1127,1
1131,,,x,,1131,1
1139,,,o,term,1139,1
1142,,,x,,1142,1
1160,,,x,,1160,1
1168,,,x,,1168,1
1179,,,x,,1179,1
1213,,,x,,1213,1
1218,,,x,,1218,1
1223,,,x,,1223,1
1232,,,x,,1232,1
1235,,,o,term,1235,1
1240,,,x,,1240,1
1275,,,x,,1268,1
1280,,,x,,1275,1
1284,,,x,,1280,1
1290,,,x,,1284,1
1296,,,x,,1290,1
1335,,,o,term,1296,1
1340,,,x,,1335,1
1349,,,x,,1340,1
1359,,,x,,1349,1
1371,,,x,,1359,1
1389,,,x,,1371,1
1405,,,x,,1389,1
1415,,,x,,1405,1
1417,,,x,,1415,1
1425,,,x,,1417,1
1426,,,x,,1425,1
1443,,,x,,1426,1
1463,,,x,,1443,1
1476,,,x,,1454,1
1520,,,x,,1463,1
1524,,,o,null handle,1476,1
1534,,,x,,1520,1
1543,,,x,,1524,1
1559,,,x,,1534,1
1569,,,x,,1543,1
1570,,,x,,1559,1
1576,,,x,,1569,1
1577,,,x,,1570,1
1590,,,x,,1576,1
1614,,,o,crash expose,1577,1
1631,,,o,exception handling,1590,1
1639,,,x,,1614,1
1655,,,x,,1631,1
1656,,,x,,1639,1
1657,,,x,,1655,1
1667,,,x,,1656,1
1691,,,o,term,1657,1
1692,,,x,,1667,1
1693,,,x,,1691,1
1695,,,x,,1692,1
1703,,,x,,1693,1
1710,,,x,,1695,1
1721,,,x,,1703,1
1737,,,x,,1710,1
1743,,,x,,1721,1
1745,,,x,,1737,1
1770,,,x,,1743,1
1772,,,x,,1745,1
1775,,,x,,1770,1
1776,,,x,,1772,1
1779,,,x,,1775,1
1787,,,x,,1776,1
1788,,,x,,1779,1
1792,,,o,exception handling,1787,1
1794,,,x,,1788,1
1799,,,x,,1792,1
1807,,,x,,1794,1
1809,,,x,,1799,1
1813,,,x,,1807,1
1820,,,x,,1809,1
1822,,,x,,1813,1
1829,,,x,,1820,1
1835,,,x,,1822,1
1859,,,x,,1829,1
1864,,,x,,1835,1
1869,,,x,,1859,1
1874,,,x,,1864,1
1878,,,x,,1869,1
1887,,,o,directory,1874,1
1891,,,x,,1878,1
1893,,,x,,1887,1
1899,,,x,,1891,1
1902,,,x,,1893,1
1903,,,x,,1899,1
1905,,,x,,1902,1
1908,,,x,,1903,1
1909,,,x,,1905,1
1912,,,x,,1908,1
1916,,,o,exception handling,1909,1
1928,,,x,,1912,1
1929,,,x,,1916,1
1935,,,x,,1928,1
1945,,,x,,1929,1
1947,,,x,,1935,1
1948,,,x,,1945,1
1958,,,x,,1947,1
1963,,,x,,1948,1
1966,,,x,,1958,1
1977,,,x,,1963,1
1982,,,x,,1966,1
2000,,,x,,1977,1
2018,,,x,,1982,1
2023,,,x,,2000,1
2024,,,x,,2007,1
2034,,,o,term,2018,1
2042,,,x,,2023,1
2053,,,x,,2024,1
2060,,,x,,2034,1
2062,,,x,,2042,1
2076,,,x,,2053,1
2077,,,x,,2060,1
2084,,,x,,2062,1
2085,2124,,x,,2076,1
2091,,,x,,2077,1
2095,,,x,,2084,1
2103,,,x,,2085,1
2113,,,x,,2091,1
2116,,,x,,2095,1
2121,,,x,,2103,1
2139,,,x,,2113,1
2151,,,x,,2116,1
2161,,,x,,2121,1
2173,,,o,term,2139,1
2177,,,x,,2151,1
2179,,,x,,2161,1
2184,,,o,exception handling,2173,1
2195,,,x,,2177,1
2205,,,x,,2179,1
2209,,,o,memory,2184,1
2225,,,x,,2195,1
2240,,,x,,2205,1
2256,,,x,,2209,1
2331,,,x,,2225,1
2372,,,o,exception handling,2240,1
2391,,,x,,2256,1
2394,,,o,term,2331,1
2413,,,x,,2362,1
2414,,,x,,2372,1
2416,,,x,,2391,1
2427,,,x,,2394,1
2432,,,x,,2413,1
2440,,,x,,2414,1
2448,,,x,,2416,1
2453,,,x,,2427,1
2455,,,x,,2432,1
2460,,,o,memory,2440,1
2526,,,x,,2448,1
2540,,,x,,2453,1
2571,,,o,memory,2455,1
2596,,,x,,2460,1
2599,,,o,exception handling,2526,1
2601,,,x,,2540,1
2603,,,x,,2571,1
2615,,,x,,2592,1
2625,,,x,,2596,1
2645,,,x,,2599,1
2661,,,x,,2601,1
2672,,,x,,2603,1
2674,,,x,,2615,1
2712,,,o,memory,2625,1
2714,,,x,,2645,1
2721,,,x,,2661,1
2724,,,x,,2672,1
2733,,,x,,2674,1
2735,,,x,,2712,1
2741,,,o,memory,2714,1
2742,,,x,,2721,1
2751,,,x,,2724,1
2781,,,x,,2733,1
2789,,,x,,2735,1
2813,,,o,term,2741,1
2815,,,x,,2742,1
2833,,,x,,2751,1
2834,,,x,,2781,1
2836,,,x,,2789,1
2850,,,x,,2813,1
2870,,,x,,2815,1
2873,,,x,,2833,1
2879,,,x,,2834,1
2884,,,x,,2836,1
2911,,,x,,2850,1
2940,,,x,,2870,1
2941,,,x,,2873,1
2942,,,x,,2879,1
2980,,,x,,2884,1
2985,,,x,,2911,1
3007,,,o,exception handling,2940,1
3058,,,o,term,2941,1
3060,,,x,,2942,1
3064,,,x,,2980,1
3098,,,x,,2985,1
3111,,,x,,3007,1
3113,,,x,,3058,1
3129,,,x,,3060,1
3137,,,x,,3064,1
3147,,,x,,3098,1
3153,,,o,memory,3111,1
3163,,,x,,3113,1
3166,,,x,,3129,1
3172,,,x,,3137,1
3175,,,x,,3147,1
3181,,,o,term,3153,1
3210,,,x,,3163,1
3215,,,x,,3166,1
3221,,,x,,3172,1
3241,,,x,,3175,1
3242,,,x,,3181,1
3270,,,x,,3210,1
3354,,,x,,3215,1
3419,,,o,connection,3221,1
3462,,,x,,3241,1
3481,,,x,,3242,1
3490,,,x,,3270,1
3538,,,x,,3272,1
3565,,,x,,3354,1
3584,,,x,,3419,1
3595,,,x,,3462,1
3625,,,o,exception handling,3481,1
3646,,,x,,3490,1
3654,,,x,,3538,1
3715,,,x,,3565,1
3737,,,x,,3584,1
3747,,,x,,3595,1
3775,,,x,,3625,1
3847,,,x,,3646,1
3898,,,x,,3654,1
3913,,,x,,3715,1
3941,,,x,,3737,1
3963,,,x,,3747,1
3978,,,x,,3775,1
3983,,,x,,3847,1
4015,,,x,,3898,1
4022,,,x,,3913,1
4027,,,x,,3941,1
4043,,,x,,3963,1
4046,,,x,,3978,1
4103,,,o,encoded,3983,1
4109,,,x,,4015,1
4115,,,o,exception handling,4022,1
4123,,,o,exception handling,4027,1
4127,,,x,,4043,1
4135,,,o,secure,4046,1
4137,,,x,,4103,1
4138,,,x,,4109,1
4139,,,x,,4115,1
4141,,,x,,4123,1
4143,,,x,,4127,1
4147,,,x,,4135,1
4151,,,x,,4137,1
4157,,,x,,4138,1
4175,,,x,,4139,1
4203,,,x,,4141,1
4230,,,x,,4143,1
4251,,,x,,4147,1
4266,,,x,,4151,1
4269,,,x,,4157,1
4272,,,x,,4175,1
4280,,,x,,4203,1
4287,,,x,,4230,1
4302,,,x,,4251,1
4322,,,x,,4266,1
4339,,,x,,4269,1
4342,,,x,,4272,1
4343,,,x,,4280,1
4357,,,x,,4283,1
4385,,,x,,4287,1
4410,,,x,,4294,1
4415,,,x,,4302,1
4419,,,o,exception handling,4322,1
4423,,,x,collision,4339,1
4424,,,x,,4342,1
4430,,,x,,4343,1
4443,,,x,,4357,1
4450,,,x,,4368,1
4489,,,x,,4385,1
4501,,,x,,4410,1
4514,,,x,,4415,1
4519,,,x,,4419,1
4530,,,x,,4423,1
4540,,,o,connection,4424,1
4556,,,x,,4430,1
4582,,,x,,4443,1
4597,,,x,,4450,1
4612,,,x,,4489,1
4647,,,x,,4501,1
4650,,,x,,4514,1
4660,,,o,term,4519,1
4678,,,x,,4530,1
4693,,,x,,4540,1
4728,,,x,,4556,1
4733,,,x,,4582,1
4737,,,x,,4597,1
4740,,,x,,4612,1
4796,,,x,,4647,1
4851,,,x,,4650,1
4867,,,x,,4660,1
4895,,,x,,4678,1
4897,,,x,,4693,1
4905,,,x,,4728,1
4924,,,o,memory,4733,1
4948,,,x,,4737,1
4950,,,x,,4740,
4961,,,x,,4796,
4993,,,x,,4851,
5019,,,o,memory,4867,
5033,,,x,,4895,
5039,,,x,,4897,
,,,,,4905,
,,,48,,4924,
,,,,,4948,
,,,,,4950,
,,,,,4961,
,,,,,4993,
,,,,,5019,
,,,,,5033,
,,,,,5039,
