realm/realm-java,,,,,,
number,합병,해결안제시,SBR유무,comment,,
484,,597,x,,,
5974,,,,,5899,
5970,,,,certificate expired. replace 됨,5883,
5883,,,,,5880,1
5880,,,o,local overflow,5860,1
5828,,,,,5828,1
5815,,,,,5815,1
5805,,,,,5811,1
5780,,,,exception handling,5807,1
5643,,,,,5805,1
5588,,,,,5780,1
5521,,,,,5719,1
5354,,,2,build 할 때 crash,5717,1
5312,,,,,5714,1
5231,,,o,"db와 관련, primary key",5643,1
5211,,,,,5640,1
5195,,,o,permission error,5629,1
5178,,,,,5626,1
5165,,,,crash 해야할 때 잘 crash 함..?,5588,1
5143,,,o,handler,5587,1
5056,,,,,5570,1
5011,,,,,5521,1
4976,,,,,5463,1
4822,,,,,5422,1
4726,,,,,5414,1
4673,,,,,5413,1
4651,,,,,5411,1
4644,,,,,5403,1
4630,,,,,5395,1
4624,,,,already fixed internal repository,5389,1
4517,,,,,5387,1
4502,,,,,5354,1
4437,,,o,transaction to database fail,5328,1
4405,,,,,5312,1
4381,,,2,내부적으로 해결,5309,1
4369,,,o,uncaught exception,5299,1
4343,,,,,5294,1
4334,,,,,5262,1
4177,,,,,5233,1
4174,,,,,5231,1
4128,,,,,5211,1
4086,,,o,npe on handover query pointer,5195,1
4046,,,,,5178,1
4038,,,o,ignore protocol error,5165,1
4023,,,,,5163,1
3972,,,,,5143,1
3951,,,,,5096,1
3945,,,,,5071,1
3928,,,o,illegal state exception,5056,1
3892,,,,,5036,1
3895,,,,,5011,
3825,,,,,4997,1
3821,,,o,out of memory error,4987,1
3804,,,,,4980,1
3802,,,o,query exception,4976,1
3791,,,,,4975,1
3762,,,,,4970,1
3735,,,,,4967,1
3732,,,,,4964,1
3726,,,,,4962,1
3713,,,,,4957,1
3709,,,,,4864,1
3651,,,,,4856,1
3590,,,,,4822,1
3549,,,,,4788,1
3505,,,,,4750,1
3496,,,,,4734,1
3337,,,,,4726,1
3293,,,,,4711,1
3244,,,o,clear할 때 person instance 다 안 지움,4676,1
3218,,,,dup,4673,1
3215,,,,,4662,1
3197,,,,,4659,1
3188,,,,,4658,1
3124,,,,,4657,1
3103,,,,,4651,1
3087,,,,dup,4648,1
3077,,,,,4644,1
2933,,,,,4630,1
2928,,,,,4624,1
2901,,,,,4611,1
2762,,,,,4595,1
2759,,,o,object delete 할 때 crash,4554,1
2714,,,,,4517,1
2654,,,,,4502,1
2611,,,,,4499,1
2567,,,,,4495,1
2555,,,,,4493,1
2553,,,,,4487,1
2536,,,,,4474,1
2524,,,,,4471,1
2522,,,,,4463,1
2492,,,,,4461,1
2459,,,,,4452,1
2417,,,o,exception,4443,1
2416,,,,,4437,1
2408,,,o,array index out of error,4430,1
2391,,,,,4405,1
2348,,,,,4381,1
2308,,,,,4378,1
2292,,,,,4371,1
2224,,,,,4369,1
2173,,,,,4352,1
2115,,,o,illegal state exception: caller thread behind the worker thread,4343,1
2089,,,,,4334,1
1887,,,,,4310,1
1811,,,,,4258,1
1795,,,,,4252,1
1017,,,,,4234,1
602,,,o,fatal crash,4228,
1535,,1421,x,,4177,1
1547,,1633,x,,4176,1
1554,,,x,해결 x,4174,1
1561,1564,,x,,4140,1
1581,,,x,,4137,1
1599,,,x,,4131,1
1601,1607,,x,query 관련,4128,1
1604,,,x,,4095,1
1608,1609,,x,,4094,1
1610,,,x,,4087,1
1611,1632,,o,proxy connection,4086,1
1628,,,x,,4081,1
1634,,,x,,4080,1
1644,1654,,x,,4062,1
1646,1648,,x,,4047,1
1676,1961,,x,,4046,1
1703,,,x,다른 프로젝트,4039,1
1711,,,x,이미 해결된 문서있음,4038,1
1717,,,x,,4023,1
1728,,,x,교착 상태,4002,1
1766,,2634,x,,3993,1
1773,,,x,설명 x,3972,1
1775,1816,,x,,3966,1
1777,1780,,x,,3964,1
1797,,,x,,3951,1
1803,,,x,,3945,1
1822,,,x,설명 x,3938,1
1829,2151,,x,,3928,1
1851,,1895,x,,3894,1
1854,1857,,x,api,3892,1
1875,,,x,,3874,1
1880,,,x,해결 x,3859,1
1881,,,x,,3825,1
1882,,,x,,3821,1
1884,,1892,x,,3810,1
1886,,,x,,3804,1
1893,2780,,x,,3802,1
1894,,1927,x,,3791,1
1905,1911,,x,,3787,1
1912,1914,,x,,3775,1
1925,,,x,,3762,1
1945,2123,,x,,3746,1
1964,,1420,x,,3735,1
1966,,,x,,3732,1
1970,,,x,,3730,1
1971,,,x,,3726,1
1982,,,x,no code,3714,1
1983,,1945,x,,3713,1
1990,2361,,x,,3709,1
2001,,,x,,3700,1
2021,,,x,,3689,1
2044,,,x,,3672,1
2057,,,x,,3651,1
2058,2065,,x,,3638,1
2092,2093,,x,,3603,1
2112,2236,,x,,3597,1
2116,,,x,,3590,1
2129,2238,,x,,3568,1
2130,2152,,x,,3563,1
2139,,,x,,3560,1
2141,,,x,,3552,1
2200,,,x,,3549,1
2255,,,x,,3537,1
2282,,,x,,3528,1
2303,,,x,,3511,1
2316,,,x,,3505,1
2321,2320,,o,exception,3503,1
2323,,,x,,3501,1
2324,,,x,,3496,1
2356,,,x,,3484,1
2366,2397,,x,,3469,1
2368,,,x,,3426,1
2381,,,x,,3404,1
2413,,,x,,3398,1
2420,,,x,,3388,1
2429,,,x,,3386,1
2432,,,x,,3361,1
2439,,,x,,3356,1
2478,,,x,,3337,1
2484,,,x,,3326,1
2485,2493,,o,memory,3307,1
2488,,,x,,3294,1
2491,,,x,,3293,1
2495,,,o,exception handling,3292,1
2496,,,x,,3272,1
2501,,,x,,3244,1
2502,,,x,,3218,1
2545,,,x,,3217,1
2637,,,x,,3215,1
2686,,,o,memory,3212,1
2688,,,x,,3200,1
2703,2741,,x,,3197,1
2724,,,x,,3188,1
2772,,,x,,3178,1
2819,,,x,,3173,1
2829,,,x,,3140,1
2834,,,x,,3124,1
2840,,,x,,3118,1
2894,,,o,memory,3115,1
2944,,,x,,3105,1
2947,,,x,,3103,1
2978,,,x,,3087,1
3002,,,x,,3077,1
3022,,,x,,3064,1
3033,,,x,,3033,1
3105,,,x,,3022,1
3118,,,x,,3002,1
3140,,,x,,2978,1
3173,,,x,,2947,1
3178,,,x,,2944,1
3200,,,x,,2933,1
3212,,,o,primary key handle,2928,1
3217,,,x,,2901,1
3272,,,x,,2894,1
3292,,,x,,2840,1
3294,,,x,,2834,1
3307,,,x,,2829,1
3326,,,x,,2819,1
3356,,,x,,2772,1
3361,,,x,,2762,1
3386,,,x,,2759,1
3388,5610,,o,exception handling,2724,1
3398,,,x,,2714,1
3404,,,x,,2703,1
3426,,,x,,2688,1
3469,,,x,,2686,1
3484,,,x,,2654,1
3501,,,o,exception,2637,1
3503,,,x,,2611,1
3511,,,x,,2567,1
3528,3643,,x,,2555,1
3537,,,x,,2553,1
3552,3678,,o,memory,2545,1
3560,,,x,,2536,1
3563,,,x,,2524,1
3568,,,x,,2522,1
3597,,,x,,2502,1
3603,,,x,,2501,1
3638,,,x,,2496,1
3672,3678,,o,memory,2495,1
3689,,,x,,2492,1
3714,,,x,,2491,1
3730,,,o,exception handling,2488,1
3746,,,x,,2485,1
3775,3785,,x,,2484,1
3787,,,x,,2478,1
3810,,,x,,2459,1
3874,,,x,,2439,1
3894,,,x,,2432,1
3938,,,x,,2429,1
3964,3978,,x,,2420,1
3966,3979,,x,,2417,1
3993,3993,,o,memory leak,2416,1
4002,,,x,,2413,1
4039,,,x,,2408,1
4047,,,x,,2391,1
4062,,,x,,2381,1
4080,,,x,,2368,1
4081,,,x,,2366,1
4087,,,x,,2356,1
4094,,,x,,2348,1
4095,,,x,,2324,1
4131,,,x,,2323,1
4137,,,x,,2321,1
4140,,,x,,2316,1
4228,,,x,,2308,1
4234,,,x,,2303,1
4252,4254,,x,,2292,1
4258,,,x,,2282,1
4310,4805,,o,connect exception,2255,1
4352,,,x,,2224,1
4371,4591,,o,"ssl, exception",2200,1
4378,,,x,,2173,1
4430,,,x,,2141,1
4443,,,x,,2139,1
4452,,,x,,2130,1
4461,,,x,,2129,1
4463,,,x,,2116,1
4471,,,x,,2115,1
4474,,,x,,2112,1
4487,,,x,,2092,1
4493,4559,,o,exception handling,2089,1
4495,,,x,,2058,1
4499,,,x,,2057,1
4554,,,x,,2044,1
4595,,,x,,2021,1
4611,,,x,,2001,1
4648,,,x,user,1990,1
4657,2614-core,,o,memory,1983,1
4658,,,x,,1982,1
4659,,,x,,1971,1
4662,,,x,,1970,1
4676,,,x,,1966,1
4711,5289,,o,login,1964,1
4734,,,x,,1945,1
4750,,,x,,1925,1
4788,,,x,,1912,1
4856,4870,,x,,1905,1
4864,,,x,,1894,1
4957,5023,,o,key duplicate,1893,1
4962,5020,,o,logout,1887,1
4964,,,x,,1886,1
4967,,,x,,1884,1
4970,,,x,,1882,1
4975,,,o,exception,1881,1
4980,,,x,,1880,1
4997,,,x,,1875,1
5036,,,x,,1854,1
5071,,,x,,1851,1
5096,,,x,,1829,1
5163,,,x,,1822,1
5233,,,x,,1811,1
5262,5274,,x,,1803,1
5294,,,x,,1797,1
5299,,,x,,1795,1
5309,,,x,,1777,1
5328,,,x,,1775,1
5387,,,x,,1773,1
5389,,,x,,1766,1
5395,,,x,,1728,1
5403,,,x,,1717,1
5411,,,x,,1711,1
5413,,,x,,1703,1
5414,5418,,o,permission,1676,1
5422,,,x,,1646,1
5463,,,x,,1644,1
5570,,,x,,1634,1
5587,,,x,,1628,1
5626,,,x,,1611,1
5640,,,x,,1610,1
5714,,,x,,1608,1
5717,5723,,o,null exception,1604,1
5807,,,x,,1601,1
5811,,,x,,1599,1
5860,,,x,,1581,1
5899,,,x,,1561,1
,,,,,1554,1
,,,40,,1547,1
,,,,,1535,1
,,,,,1534,1
,,,,,1490,1
,,,,,1481,1
,,,,,1477,1
,,,,,1467,1
,,,,,1466,1
,,,,,1462,1
,,,,,1451,1
,,,,,1442,1
,,,,,1437,1
,,,,,1421,1
,,,,,1417,1
,,,,,1406,1
,,,,,1403,1
,,,,,1401,1
,,,,,1398,1
,,,,,1393,1
,,,,,1392,1
,,,,,1388,1
,,,,,1385,1
,,,,,1382,1
,,,,,1380,1
,,,,,1373,1
,,,,,1359,1
,,,,,1353,1
,,,,,1352,1
,,,,,1344,1
,,,,,1342,1
,,,,,1336,1
,,,,,1333,1
,,,,,1328,1
,,,,,1285,1
,,,,,1248,1
,,,,,1247,1
,,,,,1244,1
,,,,,1241,1
,,,,,1240,1
,,,,,1189,1
,,,,,1174,1
,,,,,1169,1
,,,,,1161,1
,,,,,1143,1
,,,,,1140,1
,,,,,1131,1
,,,,,1130,1
,,,,,1114,1
,,,,,1112,1
,,,,,1109,1
,,,,,1095,1
,,,,,1094,1
,,,,,1076,1
,,,,,1069,1
,,,,,1063,1
,,,,,1059,1
,,,,,1051,1
,,,,,1040,1
,,,,,1037,1
,,,,,1023,1
,,,,,1017,1
,,,,,1012,1
,,,,,1008,1
,,,,,1006,1
,,,,,1004,1
,,,,,993,1
,,,,,982,1
,,,,,961,1
,,,,,953,1
,,,,,950,1
,,,,,937,1
,,,,,933,1
,,,,,926,1
,,,,,911,1
,,,,,901,1
,,,,,898,1
,,,,,892,1
,,,,,881,1
,,,,,875,1
,,,,,870,1
,,,,,864,1
,,,,,859,1
,,,,,846,1
,,,,,791,1
,,,,,771,1
,,,,,765,1
,,,,,763,1
,,,,,745,1
,,,,,729,1
,,,,,726,1
,,,,,710,1
,,,,,707,
,,,,,687,
,,,,,686,
,,,,,671,
,,,,,655,
,,,,,652,
,,,,,640,
,,,,,638,
,,,,,635,
,,,,,626,
,,,,,613,
,,,,,611,
,,,,,608,
,,,,,602,
,,,,,601,
,,,,,595,
,,,,,594,
,,,,,589,
,,,,,543,
,,,,,529,
,,,,,515,
,,,,,508,
,,,,,506,
,,,,,484,
