zxing/zxing,,,,,,
number,합병,해결안제시,SBR유무,comment,,
26,,,x,code x,26,1
214,,,x,,214,1
217,,,x,,217,1
235,,,x,,235,1
302,,,x,,302,1
361,368,,x,,361,1
394,395,,x,multibyte char,394,1
428,,,x,,428,1
467,,,x,,467,1
484,,,x,,484,1
489,,,x,,489,1
492,,,x,,492,1
496,,,x,barcode digit,496,1
517,,,x,,517,1
518,,,x,,518,1
539,,,x,,539,1
540,,,o,exception handling,540,1
557,,,x,,557,1
607,,,x,,607,1
610,,,o,exception handling,610,1
642,643,,x,,642,1
649,877,,x,,649,1
707,,,x,,707,1
738,,,x,,738,1
751,,,x,,751,1
806,,,o,encoding,806,1
842,,,x,,842,1
863,,,x,,863,1
908,,,x,,908,1
912,,,x,,912,1
923,,,x,,923,1
,,,,,,
,,,3,,,
